==> 473d:  LD (072dh), HL      PC:4740 AF:ffec BC:0004 DE:ff11 HL:ffff SP:4906 IX:0000 IY:0000 Flags:11101100 [22 2d 07]
==> 4740:  XOR A, A            PC:4741 AF:0044 BC:0004 DE:ff11 HL:ffff SP:4906 IX:0000 IY:0000 Flags:01000100 [af 32 2a]
==> 4741:  LD (072ah), A       PC:4744 AF:0044 BC:0004 DE:ff11 HL:ffff SP:4906 IX:0000 IY:0000 Flags:01000100 [32 2a 07]
==> 4744:  LD (09ceh), A       PC:4747 AF:0044 BC:0004 DE:ff11 HL:ffff SP:4906 IX:0000 IY:0000 Flags:01000100 [32 ce 09]
==> 4747:  LD (0723h), A       PC:474a AF:0044 BC:0004 DE:ff11 HL:ffff SP:4906 IX:0000 IY:0000 Flags:01000100 [32 23 07]
==> 474a:  INC HL              PC:474b AF:0044 BC:0004 DE:ff11 HL:0000 SP:4906 IX:0000 IY:0000 Flags:01000100 [23 22 25]
==> 474b:  LD (0725h), HL      PC:474e AF:0044 BC:0004 DE:ff11 HL:0000 SP:4906 IX:0000 IY:0000 Flags:01000100 [22 25 07]
==> 474e:  LD HL, 09e4h        PC:4751 AF:0044 BC:0004 DE:ff11 HL:09e4 SP:4906 IX:0000 IY:0000 Flags:01000100 [21 e4 09]
==> 4751:  LD (09e2h), HL      PC:4754 AF:0044 BC:0004 DE:ff11 HL:09e4 SP:4906 IX:0000 IY:0000 Flags:01000100 [22 e2 09]
==> 4754:  LD HL, (0006h)      PC:4757 AF:0044 BC:0004 DE:ff11 HL:f800 SP:4906 IX:0000 IY:0000 Flags:01000100 [2a 06 00]
==> 4757:  LD (09e0h), HL      PC:475a AF:0044 BC:0004 DE:ff11 HL:f800 SP:4906 IX:0000 IY:0000 Flags:01000100 [22 e0 09]
==> 475a:  LD HL, 0080h        PC:475d AF:0044 BC:0004 DE:ff11 HL:0080 SP:4906 IX:0000 IY:0000 Flags:01000100 [21 80 00]
==> 475d:  LD A, (HL)          PC:475e AF:0044 BC:0004 DE:ff11 HL:0080 SP:4906 IX:0000 IY:0000 Flags:01000100 [7e b7 3e]
==> 475e:  OR A, A             PC:475f AF:0044 BC:0004 DE:ff11 HL:0080 SP:4906 IX:0000 IY:0000 Flags:01000100 [b7 3e 03]
==> 475f:  LD A, 03h           PC:4761 AF:0344 BC:0004 DE:ff11 HL:0080 SP:4906 IX:0000 IY:0000 Flags:01000100 [3e 03 32]
==> 4761:  LD (0759h), A       PC:4764 AF:0344 BC:0004 DE:ff11 HL:0080 SP:4906 IX:0000 IY:0000 Flags:01000100 [32 59 07]
==> 4764:  LD (075ah), HL      PC:4767 AF:0344 BC:0004 DE:ff11 HL:0080 SP:4906 IX:0000 IY:0000 Flags:01000100 [22 5a 07]
